asin,negative,neutral,positive,total_reviews
B08DY8GJN4,0.0,0.0,100.0,13
B08F2NB5PH,0.0,7.7,92.3,13
B08F2NSN4G,0.0,7.7,92.3,13
B08FC2VFLF,0.0,7.7,92.3,13
B08FDPW8KR,0.0,7.7,92.3,13
B08FJ678YK,7.7,0.0,92.3,13
B08FRT557T,0.0,7.7,92.3,13
B08GL4CW3B,7.7,7.7,84.6,13
B08HW4HX66,7.7,0.0,92.3,13
B08KCVRL2V,0.0,0.0,100.0,8
B08KPJ76RR,0.0,0.0,100.0,13
B08KSHWYL2,0.0,0.0,100.0,13
B08PPZWNCV,7.7,0.0,92.3,13
B08PQ2KWHS,7.7,0.0,92.3,13
B08QBJTHM6,0.0,0.0,100.0,13
B08QCFV6ZJ,0.0,7.7,92.3,13
B08QD33PZ2,15.4,0.0,84.6,13
B08QZSN97Z,0.0,7.7,92.3,13
B08R794ZMX,0.0,0.0,100.0,13
B08SK4DMHR,0.0,0.0,100.0,11
B08T983G11,0.0,0.0,100.0,13
B08TMTJZ8L,15.4,0.0,84.6,13
B08VJ25PL1,15.4,15.4,69.2,13
B08VJLYQ5D,7.7,7.7,84.6,13
B08W1YKCH5,7.7,7.7,84.6,13
B08WSTTCMG,33.3,0.0,66.7,12
B08XZ3HWF3,0.0,12.5,87.5,8
B08YFF5MXX,0.0,0.0,100.0,13
B08YMKNDNY,0.0,0.0,100.0,11
B08YNMTT2D,0.0,0.0,100.0,12
B08Z6X4NK3,0.0,7.7,92.3,13
B092CB69Q4,15.4,0.0,84.6,13
B092RCLKHN,7.7,0.0,92.3,13
B093121LW9,0.0,0.0,100.0,13
B093QHHV2C,15.4,7.7,76.9,13
B093QLCCWR,7.7,0.0,92.3,13
B093TSRPQM,0.0,7.7,92.3,13
B093WB7PZV,0.0,7.7,92.3,13
B094PS5RZQ,0.0,0.0,100.0,13
B09715G57M,46.2,0.0,53.8,13
B09726KT4R,7.7,7.7,84.6,13
B097GVX9W9,0.0,0.0,100.0,13
B09861YKDM,0.0,15.4,84.6,13
B098CHH298,7.7,0.0,92.3,13
B098F5CC4N,27.3,0.0,72.7,11
B098Q74F7K,7.7,7.7,84.6,13
B0991MYYH3,0.0,0.0,100.0,11
B0995MYSRN,0.0,0.0,100.0,13
B099JVC9HL,0.0,0.0,100.0,13
B099MV5XMX,10.0,10.0,80.0,10
B099XVDV91,7.7,7.7,84.6,13
B09B4ML4HZ,7.7,7.7,84.6,13
B09B7WRM8P,0.0,0.0,100.0,13
B09B8V1LZ3,0.0,0.0,100.0,8
B09B9CD1YB,0.0,0.0,100.0,8
B09BQSYYHC,0.0,7.7,92.3,13
B09C13PZX7,0.0,0.0,100.0,13
B09D51Z5TR,7.7,0.0,92.3,13
B09D9XLZ3Q,23.1,7.7,69.2,13
B09DVGV7BH,0.0,0.0,100.0,13
B09F5JHKTL,15.4,15.4,69.2,13
B09F5L2XWZ,0.0,0.0,100.0,11
B09F5XQDYJ,8.3,8.3,83.3,12
B09FJSJQ95,0.0,0.0,100.0,13
B09FPFR2WY,0.0,0.0,100.0,13
B09FT58QQP,0.0,0.0,100.0,13
B09G1TPWBQ,0.0,7.7,92.3,13
B09G3FZG1H,15.4,0.0,84.6,13
B09GM8Y8BN,0.0,0.0,100.0,13
B09GTRVJQM,0.0,0.0,100.0,13
B09H3NJX44,0.0,15.4,84.6,13
B09HCX9BTV,0.0,0.0,100.0,13
B09J4V4XFM,15.4,0.0,84.6,13
B09JYJ6JKH,33.3,11.1,55.6,9
B09LD7WRVS,0.0,0.0,100.0,13
B09LD8PTNJ,15.4,0.0,84.6,13
B09LD8T445,0.0,15.4,84.6,13
B09LD8VFS1,7.7,7.7,84.6,13
B09LD8VXLX,0.0,0.0,100.0,13
B09LK1P1RD,15.4,7.7,76.9,13
B09LM1P132,0.0,0.0,100.0,11
B09M7KJJF6,7.7,0.0,92.3,13
B09MCKK9NX,0.0,0.0,100.0,13
B09MFBNTG3,0.0,0.0,100.0,13
B09MQWWP87,23.1,0.0,76.9,13
B09MZTSSR2,12.5,0.0,87.5,8
B09Q5KPFXM,7.7,7.7,84.6,13
B09RZM9HDS,0.0,7.7,92.3,13
B09S3HNMHF,7.7,0.0,92.3,13
B09SVSBVP1,12.5,0.0,87.5,8
B09T3R7H91,0.0,7.7,92.3,13
B09T9PXW35,11.1,0.0,88.9,9
B09TQLWNL1,15.4,7.7,76.9,13
B09TQY66NH,0.0,0.0,100.0,13
B09TR4Y91J,0.0,0.0,100.0,13
B09WVGDGYK,22.2,11.1,66.7,9
B09WVZMKWG,0.0,0.0,100.0,13
B09XBTK1M3,0.0,0.0,100.0,13
B09XRGG5NV,0.0,0.0,100.0,13
B09XVKZD34,0.0,0.0,100.0,12
B09XVLKGFT,0.0,0.0,100.0,12
B09Y638YHD,0.0,0.0,100.0,8
B09YBLCL41,0.0,0.0,100.0,13
B09YD8VLN3,12.5,0.0,87.5,8
B09YV633PL,0.0,0.0,100.0,13
B09ZKSJ59Q,0.0,15.4,84.6,13
B09ZRN1N3Z,0.0,0.0,100.0,13
B0B2ZLGLF3,0.0,7.7,92.3,13
B0B3DS23NB,0.0,7.7,92.3,13
B0B3XKHTR1,0.0,7.7,92.3,13
B0B41D4PR1,0.0,7.7,92.3,13
B0B4DKQSDV,0.0,9.1,90.9,11
B0B4ZSKPNL,15.4,7.7,76.9,13
B0B5HRWH1S,7.7,0.0,92.3,13
B0B5HSNPNH,15.4,0.0,84.6,13
B0B5HVM6JX,7.7,7.7,84.6,13
B0B5YPHMW8,30.8,0.0,69.2,13
B0B5YPZS45,15.4,0.0,84.6,13
B0B69LJ3BD,11.1,11.1,77.8,9
